// Slipstream: The Price of Freedom -- custom display strings
filerange 8000 8999
rangestart 8000 8999

// --- Weapon subsystems / build menu (shared IDs) ---
8000	Concussion Missile Launcher
8001	Anti-frigate explosive missile battery
8002	Sun-Shatter Missile Launcher
8003	Long-range siege missile battery
8004	Heavy Fusion Missile Launcher
8005	Heavy-yield anti-capital missile battery
8006	Swarm Missile Burst
8007	Rapid-fire anti-strikecraft missile battery
8008	Honking big planet killing missile

8009	Sensors Distortion Generator
8010	<b>Description:</b> Scrambles nearby enemy sensors.  \n\n<b>Type:</b> Sensors (Takes 1 Sensors Slot) \n\n<b>Prerequisites:</b> None.

8011	Manufacturing Controller
8012	<b>Description:</b> Increases production speed by 100%.  Affects this ship only.  \n\n<b>Type:</b> Module (Takes 1 Module Slot) \n\n<b>Prerequisites:</b> None.

8013	Auxiliary Power Unit
8014	<b>Description:</b> An APU removes the need for the primary power plant to drive the ships power grid. Increases ship speed by 50%. Affects this ship only. \n\n<b>Type:</b> Module (Takes 1 Module Slot) \n\n<b>Prerequisites:</b> None.


// --- Ship names ---
8100	Slipgate
8101	SRI-Sajuuk

// --- MP game-rules ---
8300	Slipstream
8301	Game Options for Slipstream: The Price of Freedom

// --- Hiigaran research ---
8400	Instant Tech!!!!!!!!!!!!!!!!!!!!!!!!!!

// --- Vaygr research ---
8500	Example

// --- General Subsystems ---
8600    Sensors Distortion Generator
8601    Scrambles enemy sensors
8602    Manufacturing Controller
8603    Improves Manufacturing Speed
8604    Auxiliary Power Unit
8605    Increases Ship Speed

// --- General Strings ---
8700    Frerrn

rangeend
